Local;Atividade;Absoluto_Entrada;Taxas_IN;Absoluto_Saida;Taxas_OUT
Brasil;A;5253;17,3;2168;8,7
Brasil;B;787;10,4;458;6,6
Brasil;C;37422;11,9;18921;6,9
Brasil;D;207;6,2;201;6,2
Brasil;E;1477;13,1;561;6,0
Brasil;F;29522;22,0;14279;12,3
Brasil;G;182772;14,1;109773;9,2
Brasil;H;20625;13,9;14393;10,4
Brasil;I;43747;19,1;25649;12,6
Brasil;J;8154;14,7;4698;9,5
Brasil;K;5341;8,9;3594;6,3
Brasil;L;5305;14,9;2450;8,1
Brasil;M;25450;17,0;10705;8,6
Brasil;N;29577;17,3;13859;9,5
Brasil;O;12;5,2;7;3,2
Brasil;P;10048;13,2;5567;8,1
Brasil;Q;24651;15,5;7468;5,9
Brasil;R;5749;20,9;2672;11,9
Brasil;S;11296;19,3;6125;11,9
Brasil;U;;; ; 
