Local;Atividade;Absoluto_Entrada;Taxas_IN;Absoluto_Saida;Taxas_OUT
Norte;A;386;21,0;146;10,0
Norte;B;51;12,4;31;8,3
Norte;C;1668;16,5;646;7,8
Norte;D;19;4,4;12;2,9
Norte;E;86;14,8;27;5,9
Norte;F;1556;26,3;621;13,2
Norte;G;13003;18,0;6191;10,1
Norte;H;1012;15,9;489;8,8
Norte;I;2026;23,0;856;12,0
Norte;J;492;18,8;176;8,7
Norte;K;270;10,6;119;5,2
Norte;L;196;17,6;79;9,3
Norte;M;1744;22,9;579;10,3
Norte;N;1705;21,4;565;9,4
Norte;O;1;5,0;;
Norte;P;664;17,9;245;7,8
Norte;Q;1646;19,3;416;6,5
Norte;R;320;26,4;77;9,1
Norte;S;570;21,7;221;10,9
Norte;U;; ;; 
Sul;A;1010;15,7;463;8,6
Sul;B;102;7,3;63;4,8
Sul;C;9795;10,5;5385;6,4
Sul;D;48;6,9;73;10,3
Sul;E;264;10,2;112;4,9
Sul;F;6868;20,7;3496;12,0
Sul;G;32955;12,5;21829;8,8
Sul;H;5102;12,4;4015;10,3
Sul;I;8118;18,0;5108;12,5
Sul;J;1428;12,7;910;8,8
Sul;K;910;7,1;678;5,6
Sul;L;1228;15,9;549;8,6
Sul;M;4839;15,5;2144;8,1
Sul;N;5281;16,6;2535;9,4
Sul;O;2;9,1;2;9,5
Sul;P;1642;13,3;977;8,9
Sul;Q;4099;14,4;1384;5,9
Sul;R;1163;20,3;582;12,6
Sul;S;2083;18,6;1135;11,7
Sul;U;; ;; 
Nordeste;A;841;16,1;337;7,7
Nordeste;B;206;14,4;85;6,8
Nordeste;C;5881;13,8;2998;8,1
Nordeste;D;32;5,8;36;7,0
Nordeste;E;300;13,6;120;6,7
Nordeste;F;4917;23,2;2249;12,3
Nordeste;G;37161;15,1;21260;9,4
Nordeste;H;2817;15,2;1649;9,8
Nordeste;I;7610;20,6;3827;12,0
Nordeste;J;1680;17,0;695;8,7
Nordeste;K;754;9,1;469;6,0
Nordeste;L;800;16,0;339;8,1
Nordeste;M;4656;20,0;1550;8,5
Nordeste;N;4692;17,4;2029;9,0
Nordeste;O;6;8,2;2;2,9
Nordeste;P;2061;13,5;1056;7,6
Nordeste;Q;4837;16,1;1332;5,6
Nordeste;R;1086;22,7;451;11,8
Nordeste;S;1840;18,5;1104;12,3
Nordeste;U;; ;; 
Sudeste;A;1705;16,2;807;9,1
Sudeste;B;328;9,2;222;6,6
Sudeste;C;16128;11,3;8172;6,5
Sudeste;D;86;6,7;63;5,2
Sudeste;E;648;13,3;243;6,0
Sudeste;F;12822;21,2;6544;12,3
Sudeste;G;78902;13,4;49394;9,0
Sudeste;H;9121;13,4;6787;10,5
Sudeste;I;21169;18,1;13412;12,7
Sudeste;J;3663;13,8;2484;10,1
Sudeste;K;2785;9,0;1977;6,7
Sudeste;L;2479;13,4;1262;7,9
Sudeste;M;11186;15,6;5285;8,6
Sudeste;N;14164;16,3;7423;9,7
Sudeste;O;2;2,0;2;2,0
Sudeste;P;4607;12,2;2747;7,9
Sudeste;Q;11213;14,9;3525;5,8
Sudeste;R;2547;19,5;1331;11,9
Sudeste;S;5459;19,1;3093;12,1
Sudeste;U;; ;; 
CentroOeste;A;1311;20,5;415;8,6
CentroOeste;B;100;13,2;57;8,5
CentroOeste;C;3950;15,9;1720;8,4
CentroOeste;D;22;5,7;17;4,6
CentroOeste;E;179;17,8;59;7,4
CentroOeste;F;3359;25,4;1369;13,0
CentroOeste;G;20751;16,5;11099;10,0
CentroOeste;H;2573;17,5;1453;11,3
CentroOeste;I;4824;22,7;2446;13,5
CentroOeste;J;891;17,1;433;9,8
CentroOeste;K;622;11,6;351;7,2
CentroOeste;L;602;18,3;221;8,3
CentroOeste;M;3025;19,4;1147;9,3
CentroOeste;N;3735;21,5;1307;9,7
CentroOeste;O;1;5,9;1;5,9
CentroOeste;P;1074;15,6;542;9,1
CentroOeste;Q;2856;17,1;811;6,2
CentroOeste;R;633;23,5;231;11,2
CentroOeste;S;1344;22,4;572;11,5
CentroOeste;U;; ;;
